globaleventid,eventtimedate,mentiontimedate,mentiontype,mentionsourcename,mentionidentifier,sentenceid,actor1charoffset,actor2charoffset,actioncharoffset,inrawtext,confidence,mentiondoclen,mentiondoctone,mentiondoctranslationinfo,extras
555924816,20160701210000,20170701234500,1,china.org.cn,http://arabic.china.org.cn/txt/2017-07/02/content_41135804.htm,4,-1,996,988,1,100,2579,0.83565459610028,srclc:ara;eng:GT-ARA 1.0,
669670701,20170701234500,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,4,850,812,787,0,20,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
555794094,20160701120000,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,4,865,802,787,1,80,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670702,20170701234500,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,4,751,742,761,0,20,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670703,20170701234500,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,4,751,742,761,1,80,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670704,20170701234500,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,4,812,850,787,0,20,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670705,20170701234500,20170701234500,1,almadapaper.net,http://www.almadapaper.net/ar/news/532171/%D8%AE%D8%B7%D8%B7-%D8%AD%D9%83%D9%88%D9%85%D9%8A%D8%A9-%D9%84%D9%85%D8%B9%D8%A7%D9%84%D8%AC%D8%A9-%D8%A3%D8%B2%D9%85%D8%A9-%D8%A7%D9%84%D8%B3%D9%83%D9%86-%D9%88%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%A7,13,2918,-1,2954,1,100,8015,-3.08370044052864,srclc:ara;eng:GT-ARA 1.0,
555794534,20160701120000,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,4,802,865,787,1,80,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670706,20170701234500,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,4,742,751,761,0,20,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
669670707,20170701234500,20170701234500,1,tvperu.gob.pe,http://www.tvperu.gob.pe/informa/politica/i-gabinete-ministerial-binacional-peru-chile-se-realizara-en-lima,4,742,751,761,1,80,1002,0.6369426751592341,srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0,
