	Description	GoldsteinScale	cameoCode
01	 MAKE PUBLIC STATEMENT	0.0	01
010	 Make statement, not specified below	0.0	010
011	 Decline comment	-0.1	011
012	 Make pessimistic comment	-0.4	012
013	 Make optimistic comment	0.4	013
014	 Consider policy option	0.0	014
015	 Acknowledge or claim responsibility	0.0	015
016	 Make empathetic comment	3.4	016
017	 Engage in symbolic act	0.0	017
018	 Express accord	3.4	018
019	Express common understanding, agreement, or accord	3.4	019
02	 APPEAL	3.0	02
020	 Appeal, not specified below	3.0	020
021	 Appeal for cooperation, not specified below	3.4	021
0211	 Appeal for diplomatic cooperation	3.4	0211
0212	 Appeal for material cooperation	3.4	0212
0213	Appeal for judicial cooperation	3.4	0213
0214	Make an appeal for, request, or suggest sharing of intelligence.	3.4	0214
022	 Appeal for policy support	3.4	022
023	 Appeal for aid, not specified below	3.4	023
0231	 Appeal for economic aid	3.4	0231
0232	 Appeal for military aid	3.4	0232
0233	 Appeal for humanitarian aid	3.4	0233
0234	 Appeal for military protection or peacekeeping	3.4	0234
024	 Appeal for political reform, not specified below	-0.3	024
0241	 Appeal for change in leadership	-0.3	0241
0242	 Appeal for policy change	-0.3	0242
0243	 Appeal for rights	-0.3	0243
0244	 Appeal for change in institutions, regime	-0.3	0244
025	 Appeal to yield	-0.3	025
026	 Appeal to others to meet or negotiate	4.0	026
027	 Appeal to others to settle dispute	4.0	027
028	 Appeal to others to engage in mediation	4.0	028
03	 EXPRESS INTENT TO COOPERATE	4.0	03
030	 Express intent to cooperate, not specified below	4.0	030
031	 Express intent to engage in material cooperation,  not specified below	5.2	031
0311	 Express intent to cooperate economically	5.2	0311
0312	 Express intent to cooperate militarily	5.2	0312
032	 Express intent to provide policy support	4.5	032
033	 Express intent to provide aid, not specified below	5.2	033
0331	 Express intent to provide economic aid	5.2	0331
0332	 Express intent to provide military aid	5.2	0332
0333	 Express intent to provide humanitarian aid	5.2	0333
0334	 Express intent to provide military protection or peacekeeping	6.0	0334
034	 Express intent to bring political reform, not specified below	7.0	034
0341	 Express intent to change leadership	7.0	0341
0342	 Express intent to change policy	7.0	0342
0343	 Express intent to provide rights	7.0	0343
0344	 Express intent to change institutions, regime	7.0	0344
